group_key,total,variants,unique_msgs,top_members,sizes,colors,units,merged_stems
кронштейн,229,98,195,кронштейн 10/12см(32) | кронштейн 12/15см(19) | кронштейн 100/125(17) | кронштейн 15/20см(10) | кронштейны(7),"10/12:32, 12/15:24, 100/125:21, 125/150:13, 15/20:11, 20/25:9, 125:7, 150:7",,"шт:150, —:61, уп:11","кранштейн, кронштей, кронштейн"
пвх,226,10,212,пвх(210) | матовый пвх(8) | -матовый пвх(1) | матовый пвх 3м.50см x 2м.30см(1) | матовый пвх 3.2*3.0(1),"2:2, 3.2:2, 3:1, 50:1, 30:1, 3.0:1, 5.0:1, 340х356:1",матовый:15,"—:152, м:65, шт:9",
вставк пк,222,42,216,вставка в пк(96) | вставка в пк14(25) | вставка в пк черная(23) | вставка для пк14(9) | вставка в пк 14(8),"14:93, 6:1, 30:1, 12:1","черная:34, белая:10, чёрная:2, белую:2, черную:1","м:128, —:90, шт:1",
блок,219,111,167,блок 250(13) | блок(10) | блок на 100в(9) | блок 150(9) | блок 60w(9),"24:53, 100:49, 60:45, 150:22, 200:20, 250:19, 300:14, 36:8",,"шт:179, —:39, м:1",
полотн,214,176,124,"полотна(16) | полотно(13) | полотен(5) | полотно белый мат(3) | полотно 1,07*0,88(2)","2:13, 1:11, 4:8, 5:7, 3:7, 88:4, 20:3, 10:3","белый:27, мат:13, матовый:10, сатин:5, глянец:4","—:137, шт:71, м:6","плотн, полотен, полотн"
обвод труб,213,91,141,обвод трубы 27(30) | обвод трубы 32(26) | обвод трубы 22(11) | обвод труб 27(9) | обвод трубы 45/55(8),"27:65, 32:49, 22:22, 28:13, 30:9, 45/55:9, 16:3, 100:3",,"шт:183, —:30",
гарпун,212,47,199,гарпун(59) | гарпун черный(30) | гарпун белый(26) | черный гарпун(23) | гарпун чёрный(12),"2:17, 3,65:4, 2,35:2, 1,85:2, 4,3:2, 6,1:2, 152х33:1, 31х1:1","черный:62, белый:45, чёрный:18, мат:17, бежевый:1","—:112, м:90, шт:8","гарпун, гарпуп, горпун"
премиум,201,97,151,мат премиум(40) | белый мат премиум(36) | белый матовый премиум(18) | мат 303 премиум(7) | мат белый премиум(3),"303:8, 1.501:7, 1.500:4, 94:3, 1.510:2, 4,2:2, 258:2, 0.86:2","мат:164, белый:125, матовый:30, глянец:3, сатин:1","—:147, шт:54","преиум, премимум, премиум"
рассеивател,198,23,188,рассеиватель(165) | рассеиватель черный(6) | рассеивателя(4) | рассеиватель 3см белый(2) | рассеиватель для р50(2),"3:3, 30:3, 70:2, 50:2, 8:1, 1.5:1, 45:1, 75:1","черный:7, белый:3, чёрный:2, черного:1","м:143, —:54, шт:1","расеивател, рассевател, рассеиваетел, рассеивател, рассеиветел"
гарпун танд,196,7,192,гарпун тандем(178) | гарпун тандем черный(6) | тандем гарпун(6) | гарпун тандем белый(3) | гарпун тандем-12 м(1),12:1,"черный:6, белый:3","м:190, —:3, м.п.:1",
gx,195,23,188,gx белый(105) | gx53 белый(23) | gx 53(20) | gx53(15) | gx черный мат(6),"53:77, 28:1, 5:1, 9:1, 8/3000:1","белый:136, черный:13, мат:8, белых:4, матовый:2","шт:119, —:75, компл:1",
алюм тяж,194,1,188,алюм тяж(194),,,"—:139, м:52, шт:3",
ам,192,65,183,ам 01(25) | ам1 белый(21) | ам1(19) | ам 01 черный(12) | ам1 черный(12),"1:131, 01:56, 2:27, 3,2:4, 8:1, 2.0:1, 4:1, 200:1","белый:54, черный:34, белая:15, черная:6, чёрный:6","м:144, шт:28, —:15",
платформ,188,70,175,платформа 90(30) | платформы 90(19) | платформа 60-110(11) | платформа 90 мм(9) | платформы 90е(9),"90:113, 60:17, 110:17, 120:8, 55:7, 150:6, 115:5, 105:5",,"шт:170, —:18","платформ, плотформ, поатформ"
обвод,181,55,113,обвод 27(38) | обвод 32(31) | обвод 22(21) | обводы 27(9) | обводы 32(7),"27:61, 32:53, 22:26, 22/27:6, 28:6, 45:5, 40:5, 25:4",,"шт:157, —:24",
профил,178,31,174,профиль(117) | профиля(18) | профиль 135(10) | профиль 135 гр(4) | профиль 130(2),"135:18, 130:4, 2:3, 110:2, 40:2, 20:1, 66:1, 10:1","белый:1, чёрного:1","м:119, —:35, палка:13","профил, профилс, профит"
люстр платформ,175,40,167,платформа под люстру(63) | платформа люстра(17) | платформа для люстры(14) | платформы под люстру(11) | платформа под люстру 200мм(6),"200:32, 120:8, 20:4, 15:2, 1:1, 95:1, 160:1, 2:1",,"шт:146, —:29",
торц,170,14,159,торцы(115) | торца(26) | торцов(7) | торцы комплект(7) | комплект торцов(5),"50:2, 2:1, 17:1","белый:1, чёрных:1, белых:1","шт:72, компл:64, —:29",
потолочк,167,9,161,потолочка(149) | потолочный(8) | потолочки(2) | потолочку(2) | потолочная(2),"233х315:1, 500х551:1","белый:1, матовый:1","—:88, м:60, шт:12","потолочек, потолочк, потолочн"
дюбел,162,79,160,дюбель 35(13) | дюбеля(12) | дюбель(10) | дюпель 35(8) | дюбелей 35х(7),"35:69, 6*35:12, 41:8, 40:6, 6/40:5, 6:5, 6х40:4, 1:3","синий:10, синие:5, синих:4, рыжий:1, рыжие:1","пачка:73, уп:55, —:17","дебел, дубел, дюбел, дюбео, дюбил, дюбкл, дюпел"
ламп,159,44,153,лампа 8в 4000к(73) | лампа 8в 6000к(17) | лампа 8в 3000к(10) | лампы(7) | лампа 4000к(4),"8:112, 4000:96, 6000:20, 10:19, 3000:12, 4200:5, 5000:4, 7:3",белый:1,"шт:91, —:68",
вставк периметр,157,23,150,вставка по периметру(97) | вставку по периметру(12) | вставка периметр(8) | вставка белая по периметру(6) | черная вставка по периметру(4),"2:4, 465:1, 302:1, 522:1, 322:1","черная:12, белая:12, чёрная:3, черную:1, чёрную:1","—:147, шт:6, м:3",
гост провод,155,36,153,"провод гост(58) | провод 2х0.75 гост(11) | провод 0,75 гост(8) | провод гост 0.75(7) | провод гост 2*0.75(7)","75:45, 2х0:22, 0.75:15, 075:12, 2*0:12, 2/0:10, 0,75:9, 2:5",,"м:141, —:11, м.п.:1",
крючк пк,150,27,145,крючки для пк(100) | крючки пк(5) | крючки в пк14(4) | крючки для пк14(4) | крючки в пк(3),"14:27, 15:6, 5:1",,"—:77, шт:21, пачка:18",
бауф,149,64,130,бауф 205(28) | мат бауф 205(9) | бауф мат 205(8) | бауф 205 мат(7) | бауф(6),"205:105, 230:13, 270:11, 303:5, 2,2:2, 3,3:2, 2:2, 35х310:2","мат:78, белый:36, матовый:11, сатин:3, глянец:2","—:128, шт:21",
классик,146,83,126,мат классик(37) | белый мат классик(22) | белый матовый классик(4) | мат классик 145/131(2) | мат классик 2.7/3.56(2),"303:2, 145/131:2, 2.7:2, 3.56:2, 3.17:2, 4.35:2, 500/250:2, 120*220:1","мат:123, белый:57, матовый:8, белое:1, глянец:1","—:100, шт:46","класик, классик"
танд,140,5,139,тандем(134) | тандем белый(3) | 4м тандем(1) | тандем черный(1) | тандем чёрный(1),4:1,"белый:3, черный:1, чёрный:1","м:125, —:11, шт:3",
кле оконг,134,7,132,клей оконг(122) | клей оконг 20мм(4) | оконг клей(3) | клея оконг(2) | 2 клея оконг(1),"20:4, 2:2, 7:1",,"шт:113, —:20, тюбика:1",
заглушк торцевы,126,7,120,торцевые заглушки(104) | заглушки торцевые(15) | торцевые заглушки комплект(3) | + торцевые заглушки(1) | торцевые заглушки на р-60(1),"50:2, 60:1",,"шт:54, компл:52, —:15",
вставк готик,125,20,121,вставка готика(70) | вставка белая готика(20) | вставка т готика(10) | вставка готика белая(5) | 2. вставка готика(2),"2:3, 40:1","белая:32, чёрная:2, черная:2","м:77, —:34, коробка:7",
перчатк хб,119,5,111,перчатки хб(115) | 17. перчатки хб 6пар(1) | перчатки 2хб(1) | перчатки хб 12 пар(1) | перчатки хб 6 пар(1),"6:2, 17:1, 2:1, 12:1",,"пара:41, пар:36, —:14",
закладн люстр,119,19,116,закладная под люстру(68) | закладных под люстру(15) | закладная люстра(10) | закладную под люстру(5) | закладная для люстры(3),"2:2, 200:2, 3:1, 250:1, 40:1, 10:1",,"шт:100, —:19",
люстр фанер,116,23,116,люстра фанера(44) | фанера под люстру(36) | под люстру фанера(10) | фанера для люстры(3) | фанера люстра(3),"11:1, 6:1, 2:1, 50*50:1, 25:1, 30:1, 40/40:1, 40×40:1",,"шт:103, —:13",
консол,115,73,110,консоли 125/150(10) | консоли 5*6(5) | консолей(4) | консоли(4) | консоли 125*150(4),"125/150:13, 150:11, 100:8, 125:8, 125*150:5, 5*6:5, 100х125:3, 120:3",,"шт:94, пачка:10, уп:7",
закладн люстр фанер,115,33,113,закладная под люстру фанера(45) | закладная под люстру из фанеры(15) | закладная из фанеры под люстру(7) | закладная люстра фанера(5) | закладная для люстры фанера(4),"50*50:9, 280:3, 200:3, 25х25:1, 120:1, 20х20:1, 25:1, 40х40:1",,"шт:100, —:15",
профил средн,115,2,115,профиль средний(114) | средний профиль(1),,,"—:78, м:36, шт:1",
gx светильник,114,38,110,светильники gx53(19) | светильник gx53 белый(13) | светильник gx 53 белый(11) | светильников gx53(7) | светильники gx 53(6),"53:105, 5:2, 43:2, 19:1","белый:45, черный:11, матовый:7, черных:5, чёрный:3","шт:103, —:11",
кле крокс,110,5,110,клей крокс(106) | + клей 3 шт крокс(1) | 6. клей крокс(1) | клей крокс 301(1) | клея крокс(1),"3:1, 6:1, 301:1",,"шт:98, —:10, тюбик:1",
еврокраб,110,9,109,еврокраб(79) | еврокрааб(15) | еврокраб 2.0(6) | еврокраба(5) | еврокраб черный(1),"2.0:7, 50:1, 248:1",черный:1,"м:102, —:6, м.п.:1","еврокоаб, еврокрааб, еврокраб, еврокрабб"
заглушк пк,110,18,110,заглушки для пк(66) | заглушки на пк 14(8) | заглушки пк 14(7) | заглушки пк14(5) | заглушки для пк14(4),"14:40, 3:3, 2:1",черная:1,"пара:49, компл:17, шт:16",
гвозд,105,33,81,гвозди 19(22) | гвозди 22(19) | гвозди 16(15) | гвозди 25(6) | гвозди 32(4),"19:30, 22:28, 16:22, 25:10, 32:4, 40:3, 27:2, 30:2",,"пачка:35, —:35, уп:21",
карниз пк,99,79,75,карниз пк 14 белый(4) | карниз пк 14(3) | карниз пк 14 белый 3м(3) | карниз пк14(3) | карниз пк 14 3 м(2),"14:87, 3:17, 3,2:16, 2:15, 15:11, 3.2:7, 3.6:4, 2,5:4","белый:36, черный:3, черная:2, белая:1","шт:74, м:23, —:2",
ваг тройны,96,6,94,ваги тройные(67) | ваго тройные(24) | тройные ваги(2) | 9. ваги тройные(1) | ваг тройные(1),9:1,,"шт:65, пачка:15, —:8",
бел,95,53,86,белый мат(13) | белый(11) | белый матовый(6) | белый глянец(5) | белый сатин(5),"50:9, 2:8, 3.2:7, 3,2:5, 3.41:3, 60:3, 4:2, 191:2","белый:70, мат:30, белая:10, матовый:9, глянец:6","—:51, шт:29, м:13",
пленк укрывн,93,7,90,"пленка укрывная(38) | укрывная пленка(32) | укрывной пленки(15) | укрывную пленку(3) | пленки укрывной 2,7х20м(2)","7х20:2, 2:2, 4:1",,"шт:69, —:9, уп:5",
лент,93,45,80,лента(24) | ленты(13) | ленту(6) | лента 3000к(3) | ленты 6в 3000к(3),"3000:19, 24:13, 6:11, 4000:10, 9.6:6, 12:4, 9,6:3, 5:3",жёлтая:1,"м:59, —:18, шт:10",
заглушк,90,9,90,заглушки(65) | заглушек(9) | заглушка(6) | комплект заглушек(4) | заглушки комплект(2),,черных:1,"компл:34, шт:32, —:13","заглушек, заглушк"
гарпун обычн,88,10,88,гарпун обычный(74) | обычный гарпун(5) | гарпун обычный белый(2) | -гарпун обычный(1) | 221*246 мат 511 гарпун обычный(1),"221*246:1, 511:1","белый:3, мат:1, глянец:1, черный:1, прозрачный:1","—:63, м:21, шт:4",
люк,88,79,53,люк 40/40(3) | люк 30*40(2) | люк 30х60(2) | люк 40*40(2) | люк 40х40(2),"40/40:3, 30*40:2, 30х60:2, 40*40:2, 40х40:2, 40х90:2, 50*100:2, 80*140:2",,"шт:70, —:18",
конус,86,30,66,конус 27(17) | конус 32(8) | конус(7) | конусы(7) | конусы 32(7),"27:33, 32:19, 22:12, 28:3, 22/27:1, 25:1, 27/32:1, 40:1",,"шт:61, —:25",
gx белы светильник,82,12,82,светильники gx белые(34) | светильники gx53 белые(25) | светильники gx 53 белые(12) | светильник gx белые(2) | светильники белые gx53(2),53:45,мат:1,"шт:54, —:28",
профил стандарт,82,7,81,профиль стандарт(71) | профиля стандарт(5) | профиль стандарт 135 гр(2) | 1)профиль стандарт(1) | профиль стандарт 135(1),"135:4, 1:1",,"м:61, —:19, пачка:1",
укрывн,81,4,81,укрывная(74) | укрывка(4) | укрывной(2) | укрывку(1),,,"шт:78, —:1, уп:1","укрывк, укрывн"
eleganz блок,80,9,60,блок 24v 060w eleganz(17) | блок 24v 100w eleganz(17) | блок 24v 200w eleganz(15) | блок 24v 150w eleganz(11) | блок 24v 300w eleganz(8),"24:80, 060:17, 100:17, 200:15, 150:11, 300:8, 250:7, 400:3",,"—:56, шт:24",
пвх профил,80,12,78,профиль пвх(46) | пвх профиль(14) | пвх профиль по 2 метра(9) | пвх профиля по 2 метра(3) | пвх профиля(1),2:17,,"м:67, —:9, шт:3",
гардин,77,68,58,"гардина 2 05 белая(2) | гардина 2 05 белая 3,2м(2) | гардина 2 05 черная(2) | гардина 2.2(2) | гардина п50 белая 2м(2)","05:31, 2:29, 3.2:14, 3,2:12, 50:9, 2.2:7, 70:7, 2,2:6","белая:23, черная:13, черную:1, чёрный:1, белых:1","шт:47, м:13, —:11","гадин, гардин"
лини светов,76,26,73,световая линия 3см(19) | световая линия 3 см(10) | световая линия 30мм(10) | световая линия(7) | световая линия 30 мм(5),"3:37, 30:21, 15:4, 2:3, 1.5:2, 5:2, 16:1, 26:1",,"м:67, —:7, шт:2",
рушк,75,7,73,рушка(44) | рушка белая(11) | рушка черная(9) | рушки(6) | рушку(2),,"белая:11, черная:9, черную:3","м:72, —:3",
бокс,74,43,66,бокс 20/40(14) | бокс 20*40(5) | бокс 40*40(4) | бокс(3) | бокс 30х40 чёрный(3),"20/40:15, 30х40:10, 20*40:5, 40х20:4, 40*40:4, 30х60:3, 40/40:3, 60х30:3","черный:11, чёрный:10, белый:4","м:63, —:7, палка:1",
ваг ки,74,4,74,ваго 3ки(70) | ваги 2ки(2) | ваго 2ки(1) | ваго 3ки пачка(1),"3:71, 2:3",,"шт:45, пачка:27, —:2",
ваг двойны,70,6,69,ваги двойные(57) | ваго двойные(9) | + добавьте ваги двойные пачку(1) | ваг двойные(1) | вага двойные(1),,,"шт:50, —:8, уп:6",
оконг,69,5,68,оконг(64) | аконг(2) | +2 оконг(1) | оконга(1) | окконг(1),2:1,,"шт:48, —:21","аконг, окконг, оконг"
метр,68,41,66,2 метра(7) | 8 метров(5) | метра(4) | 10 метров(3) | 14 метров(3),"2:9, 8:7, 10:4, 3:4, 4:4, 14:3, 16:3, 50:3",,"м:47, шт:12, —:5",
потолок,68,48,53,"потолок белый матовый(7) | потолки(5) | потолок(4) | потолок 138/191(2) | потолок 2,2*4,6(2)","2:9, 2*4:3, 6:3, 8*4:3, 3*3:3, 3:3, 138/191:2, 296:2","белый:18, матовый:15, мат:6, сатин:4, глянец:2","—:40, шт:27, м:1","потолк, потолок, поттлок"
пластик,68,37,65,пластик 50*50 3мм(16) | пластины(7) | пластик(5) | пластик 10мм 50см/50см(3) | пластик 1см 50*50(2),"3:29, 50*50:28, 10:13, 50х50:8, 1:7, 50:6, 10х10:2, 25*25:2",белый:1,"шт:35, —:31, м:1","пластик, пластин"
мсд премиум,68,43,56,мсд премиум(11) | мат белый мсд премиум(5) | белый мат мсд премиум(4) | мсд мат премиум(4) | мсд премиум белый мат(4),"87×383:2, 287:2, 16х344:2, 528х344:2, 14,5:2, 280:1, 410:1, 3850*4390:1","белый:36, мат:34, матовый:8, сатин:3","—:54, шт:14",
кольц люстр,68,8,68,кольцо под люстру(61) | кольца 85 под люстру(1) | кольца для люстры 35(1) | кольца к люстре(1) | кольца под 2 люстры(1),"85:1, 35:1, 2:1, 30:1, 40:1",,"—:54, шт:14",
отбойник,65,6,65,отбойник(50) | отбойник z(6) | z-отбойник(3) | отбойника(3) | z отбойник(2),,,"м:54, шт:5, —:4",
пк рассеивател,65,16,65,рассеиватель в пк14(19) | рассеиватель в пк 14(13) | рассеиватель на пк 14(6) | рассеиватель в пк(4) | рассеиватель для пк14(4),"14:59, 3:1",,"м:60, —:5",
брус дерев,62,2,62,брус дерево(58) | брус дерево 40х50(4),40х50:4,,"м:58, шт:4",
пожарк,62,5,60,под пожарку 120(49) | под пожарку(9) | пожарки(2) | под пожарки(1) | под пожару(1),120:49,,"—:40, шт:22","пожар, пожарк"
ам вставк,60,21,57,вставка в ам(22) | вставка в ам черная(10) | вставка в ам1(4) | вставка в ам1 черная(3) | вставка ам1(2),"1:21, 01:1","черная:15, белая:2, чёрная:2, черную:1","м:35, —:25",
вставк ру,59,13,57,вставка ру(23) | вставка ру черная(12) | вставка ру белая(7) | вставку ру(3) | ру вставка черная(3),16:1,"черная:17, белая:9, чёрная:3, черную:1","м:57, —:1, коробка:1",
стен тяж,59,1,59,стена тяж(59),,,м:59,
лини светов флекс,58,13,55,световая линия флекси 30мм(39) | световая линия флекси 30(5) | световая линия флекси(3) | световая линия флекси 3 см(2) | световая линия флекси 1.5см(1),"30:45, 3:4, 15:2, 1.5:1, 35:1, 50:1, 5:1",,"—:29, м:28, палка:1",
периметр профил,56,11,54,профиль по периметру(41) | профиль периметр(3) | профиль 135гр по периметру(2) | профиль по периметру 135 гр(2) | профиль по периметру+2(2),"135:6, 2:3, 125:1","белый:1, матовый:1","—:51, м:3, шт:2",
клоп,56,6,56,"клопы(50) | клопы 9мм(2) | клопов(1) | клопы 0,5 кг(1) | клопы 100г(1)","9:2, 0,5:1, 100:1, 3.5:1, 9.5:1, 200:1",,"кг:18, гр:15, —:10",
краб,55,9,55,краб(34) | краб 2.0(10) | краба(4) | краб 4.0(2) | 22м краб(1),"2.0:12, 4.0:2, 22:1, 78:1",,"м:46, —:5, шт:3",
карниз,54,48,47,карниз(5) | карниз 2.2(2) | карниз р 60 3шт по 3.2м(2) | p50 карниз 3.2м черный(1) | белый карниз 320(1),"3.2:11, 2:10, 50:6, 3:6, 2.2:5, 3,2:5, 60:5, 70:3","белый:15, черный:4, белых:1","шт:38, —:7, м:7",
закл люстр,54,4,53,закл под люстру(45) | закл люстра(7) | закл под люстры(1) | закл. под люстру(1),,,"шт:37, —:17",
багет,54,7,52,багет(41) | багет (135гр)(5) | багет 135гр(4) | багет 110 гр(1) | багет 135 гр(1),"135:10, 110:1, 6000:1",,"м:34, —:19, шт:1",
гардин флекс,54,48,42,"гардина 05 флекси белая 3,2 м(3) | флекси гардина 2 05 белая 2.2м(3) | флекси белая гардина 2.05 320 см(2) | флекси гардина 05 3.2м(2) | гардина 05 от флекси белая 3.2 м(1)","05:37, 2:23, 3.2:16, 2.2:14, 3,2:8, 320:4, 2.05:4, 2.0:3","белая:33, черная:7, чёрная:2, белую:1","шт:43, м:6, палка:4",
разделител,51,4,49,разделитель(46) | разделителя(3) | -разделитель20м(1) | разделитель черная(1),20:1,черная:1,"м:31, —:14, шт:3",
tl вставк,50,8,49,вставка tl белая(24) | вставка tl(13) | вставка белая tl(6) | вставка tl черная(3) | вставка tl чёрная(1),,"белая:30, черная:5, чёрная:1","м:44, —:5, пм:1",
фла,49,27,47,флай 02 черный(7) | флай 02(6) | белый флай 02(3) | флай 01 черный(3) | флай 01 чёрный(3),"02:22, 01:11, 03:4, 2:4, 05:3, 04:2, 1:2, 12:1","черный:19, белый:10, чёрный:7, черного:1","м:33, —:10, палка:5",
gx кольц,48,4,48,кольцо под gx(45) | кольца к gx(1) | кольца под gx(1) | кольца под gx53(1),53:1,,"—:34, шт:14",
крокс,48,2,48,крокс(46) | крокса(2),,,"шт:39, —:8, тюбика:1",
платформ светильник,48,29,47,платформа под светильник 90(11) | платформа светильник(3) | платформ под светильники(2) | платформа 90 мм для светильников(2) | платформа под светильник(2),"90:22, 60:6, 110:4, 55:2, 105:2, 100:1, 130:1, 150:1",,"шт:45, —:2, м:1",
люстр платформ фанер,48,20,45,платформа под люстру фанера(15) | платформа люстра фанера(5) | платформа под люстру из фанеры(4) | платформа для люстры из фанеры(3) | платформа для люстры фанера(3),"280*280:1, 500х500:1, 280х280:1, 30:1, 200:1, 400:1",,"шт:46, —:2",
классик мсд,47,27,39,мсд классик(8) | мсд классик м303(6) | белый матовый мсд классик(5) | мсд классик белый мат(3) | белый мат мсд классик(2),"303:6, 2,4:2, 193:2, 5х5:1, 2:1, 253х442:1, 365*314:1, 543х306:1","белый:15, мат:12, матовый:9, матовое:5","—:34, шт:13",
gx закл,47,2,47,закл под gx(46) | закл под gx 53(1),53:1,,"—:33, шт:14",
кольц протекторн,47,26,29,протекторное кольцо d 045мм(5) | протекторное кольцо d 090мм(5) | протекторное кольцо d 020мм(4) | протекторное кольцо d 055мм(4) | протекторное кольцо d 025мм(3),"090:6, 045:5, 020:5, 105:4, 055:4, 90:3, 025:3, 040:2",,шт:47,
закладны люстр,47,4,47,закладные под люстру(29) | закладные под люстры(13) | закладные люстра(3) | закладные под люстру 120(2),120:2,,"шт:45, —:2",
перчатк,47,5,44,перчатки(41) | перчатки х/б(2) | перчаток(2) | пертчатки(1) | перчатки 5 пар(1),5:1,,"пара:21, шт:10, пар:8","пертчатк, перчатк, перчаток"
труб,46,19,30,труба (27)(15) | труба (32)(7) | труба (22)(4) | труба 32(3) | 125 труба(2),"27:20, 32:11, 22:8, 125:2, 2.6:1, 2.8:1, 3.2:1, 45:1",,"шт:37, —:7, м:2",
вставк тл,46,12,45,вставка тл(22) | вставка чёрная тл(6) | вставка тл белая(5) | вставка тл черная(3) | вставка белая тл(2),"22:1, 38:1, 15:1","чёрная:9, белая:8, черная:3, матовая:1","м:33, —:6, коробка:5",
закладн универсальн,46,17,46,закладная универсальная(12) | универсальная закладная(7) | универсальных закладных(7) | закладных универсальных(6) | закладных универсальных 60-110(2),"60:6, 110:6, 60/110:2, 120:2, 100:1, 150:1, 55x115:1, 12:1",,"шт:38, —:8",
блок питани,46,27,38,блок питания(7) | блок питания 60w(6) | блок питания 24v 100w(4) | блок питания 100w(3) | блок питания 24v 150w(2),"24:16, 60:13, 100:12, 150:5, 120:1, 25:1, 50:1, 300:1",,"шт:39, —:7",
фанер,45,34,40,"фанера 50*50(5) | фанера(4) | фанера 10мм 1,5м на 60 см(2) | фанера 18мм 100см на 15см(2) | фанера 30см на 285см (18-я фанера)(2)","18:10, 50*50:5, 5:4, 10:3, 20:2, 1,5:2, 60:2, 100:2",,"шт:21, —:20, м:3","фанер, фанерн"
tl вставк готик,45,16,43,вставка готика tl(9) | вставка готика tl черная(8) | вставка tl готика(6) | вставка белая tl готика(5) | вставка готика tl белая(5),150:1,"белая:15, черная:9, матовая:1","м:38, —:3, коробка:3",
светильник,45,21,42,светильники(15) | светильников(6) | светильника(4) | светильник белый(2) | светильников белых(2),"53:3, 2:2, 90:1, 60:1, 110:1, 600:1, 650:1, 40:1","белый:4, белых:3, мат:1, черный:1","шт:40, —:5",
