msg_id,raw_name,quantity,unit,confidence
122260,12 метров,12,м,low
98643,12 метров одинарного гарпуна,,,low
264593,"12 термокольцо для натяжного потолка, диаметр 80 мм",100,шт,high
197441,12 тройных ваг,,,low
333621,12. подвесы,43,шт,high
211249,12. уголки 125×150 40шт,1,,medium
338422,120 40,2,шт,low
47808,120 кольцо,1,шт,medium
126430,120 метров прищепка стеновая белая,,,low
199823,120*220 белый мат классик,1,шт,high
191236,120*520,11,шт,medium
191163,120*520мм внутренний размер закладной,11,шт,high
64740,1200х400,2,шт,medium
60603,"120×0,9 санузел",1,шт,medium
162757,120мм кольца,24,шт,high
33675,120х150,2,уп,medium
268327,120х60 белый гарпун усадка 3% из шестиметрового полотна,1,шт,medium
268297,120х60 белый гарпун усадка 3% эволюшн 580,1,шт,medium
268311,120х60 из узкого полотна усадка 3% белый гарпун,2,шт,medium
268326,120х60 из узкого полотна усадка 3% белый гарпун,2,шт,medium
43943,122/126 потолок,1,,medium
330615,122~68 см белый мат мсд в гарпуне,1,,medium
221183,124,2,шт,medium
88939,125 кольцо,,,medium
198451,125 кольцо,1,шт,high
265714,125 решетки,2,шт,high
48121,125 труба,0.5,м,high
48132,125 труба,0.5,м,high
308551,125*265,3,шт,high
220089,125/100,75,шт,high
4667,125/100 уголки,20,шт,high
19428,125/150,16,шт,high
220090,125/150,40,шт,high
272211,125×265,2,шт,high
30483,126*103 полупрозрачный пвх на гарпуне шток,1,шт,medium
30483,126*103 прозрачный потолок на обычном,1,шт,medium
111490,"126, 130, 150, 155 мм по",1,шт,high
28693,12м,12,м,low
54951,12на273,1,шт,medium
173263,13 закладных 75 чтоб было и колец,13,шт,high
98643,13 метров заглушки на борз карниз,,,low
264593,"13 термокольцо для натяжного потолка, диаметр 90 мм",100,шт,high
285369,13 шт нужно,13,шт,low
333642,13. кольца 80мм,8,шт,high
333621,13. консоли 100х125 24шт,1,,medium
211249,13. подвесы,70,шт,high
330615,134~149 см белый мат мсд в гарпуне,1,,medium
37222,135,1,шт,high
7965,135 кольца,4,шт,high
303698,135*155,1,шт,medium
31470,135гр,2,км,high
41853,136/221,1,,medium
153493,138x40 мм,23,шт,medium
210924,139 см,1,шт,low
102809,14,2,м,low
175108,14 метров,14,м,low
197790,14 метров,14,м,low
197792,14 метров,14,м,low
264593,"14 термокольцо для натяжного потолка, диаметр 95 мм",500,шт,high
3952,14 шт,14,шт,low
333642,14. кольца 60мм,3,шт,high
211249,14. провод,50,м,high
333621,14. саморезы 35мм 2кг,,,low
228044,140 кольцо,1,,high
22112,140 профиль и вставка,,,low
64740,1400х200,1,шт,medium
56794,146-243 птл 4501-118,,,low
56794,146-243 птл 4501-118,1,шт,medium
155212,149/282,1,,medium
302781,14на273,1,шт,medium
274300,15,2,шт,low
183645,15 закладных,90,,high
183645,15 колец,90,,high
195795,15 метров,15,м,low
94178,15 надо,15,шт,medium
264593,"15 термокольцо для натяжного потолка, диаметр 100 мм",1000,шт,high
183076,15 уголков 15см,,,low
29890,"15*152,5 фанера",21,шт,high
211249,15. ваги 2,60,шт,high
333621,15. пленка на скотче,6,шт,high
166317,150,1,,low
261856,150*200,10,шт,high
174555,150-200,10,шт,medium
44364,150/100 просто потолок без гарпуна,1,,medium
4667,150х125 уголки,20,шт,high
21510,150х30,6,шт,high
244074,"152х33 черный мат, черный гарпун",1,,medium
7965,155 кольцо,1,шт,high
284516,155-205,10,шт,medium
171657,155/40,2,шт,medium
44364,155мм кольца,2,шт,high
274400,15х318 белый мат классик,1,шт,medium
63262,16 метров,16,м,low
64159,16 метров,16,м,low
162470,16 метров,16,м,low
52623,16 метров черной вставки в гарпунный паз,,,low
89038,16 мп световая линия,3,,high
28531,16 подвес,,,low
29351,16 подвес,7,,low
289680,16 см,16,см,low
303362,16 шт,16,шт,low
211249,16. ваги 3,10,шт,high
333621,"16. провод ввгнг ls 2х1,5 гост",100,м,high
37222,160,1,шт,high
44364,160 мм кольца,2,шт,high
171657,165/50,2,шт,medium
153586,165×163 и 77×97,1,,medium
151207,165мм,1,шт,high
229574,166*162 черный гарпун мсд ево,1,,medium
223443,167*173 спец раскрой,1,,medium
340141,168х168 белый мат премиум,1,,medium
317509,169*133,1,шт,medium
135080,16й,4,шт,medium
184556,16й обводы труб,1,шт,high
38441,16м,16,м,low
28531,16м стеновой,,,low
183011,17 закладных 90мм,,,low
183011,17 колец 90мм,,,low
183011,17 ламп холодных,,,low
22652,17 позиция,8,м,low
53458,"17,6/4000 свг",10,м,high
333621,17. клемники ваго 3е,100,шт,high
211249,17. перчатки хб 6пар,,,low
205204,170 м алюминиевого профиля. 20 шт200  под люстру,,,low
216085,170 см х,472,,high
60603,170×170 ванная,1,шт,medium
104524,171/188 черный глянец,1,шт,medium
68998,171х144 белый мат,1,,medium
104524,172/206 черный глянец,1,шт,medium
43943,173/60 потолок,1,,medium
43943,173/77 потолок,1,,medium
216085,174 см х,425,,high
315418,178х212,1,,medium
274400,17х276 белый мат классик,1,шт,medium
274400,17х290 белый мат классик,1,шт,medium
89057,18 закл,90,,high
89057,18 колец,85,,high
55084,18*273,3,шт,high
333621,18. кольца 85мм,37,шт,high
211249,18. саморезы 35 1кг,,,low
17300,180/225 мат бауф 205 на обычном,1,,medium
277860,180х191 мат,1,,medium
39004,184/356,1,,medium
337827,185 й колса,2,шт,medium
66862,185-190 по,3,шт,high
13277,185/108 белый мат премиум,1,,medium
123713,1850х1100х10мм пластик чпу 160х80,18,шт,high
155212,187/287,1,,medium
333621,19. кольца 50мм,3,шт,high
211249,19. пк 14 3.6м,5,шт,high
293554,19.2 w,,,low
30864,19.8/4000 дум,35,м,high
4415,190/173,1,,medium
155212,190/281,1,,medium
276696,19335 полотно прозрачное,1,,medium
245926,1gx53 бел + лампа 3000 к,1,,medium
102679,1м,1,шт,medium
29798,1см пластик 50*50,,,medium
33463,1шт,1,шт,low
224571,1шт,1,шт,low
285291,2,1,шт,medium
233638,2 98×5.44 мат классик,1,,medium
139965,2 белая,1,шт,high
206201,2 гарпун,5,м,medium
183011,2 диффузора обычных 50мм,,,low
183011,2 закладных под люстру,,,low
297253,2 канальные,2,шт,high
183074,2 клея оконг,,,low
31906,2 кнп яркость,,,low
194132,2 кольца 30-х,,,low
183011,2 кольца 45мм,,,low
98655,2 комплекта,,,low
212677,2 комплекта заглушек к пк,14,,low
183011,2 комплекта магнитных торцов на пк,14,,medium
98567,2 комплекта на север,,,low
185805,2 компонетный клей,1,,medium
108183,2 м,1,шт,low
245048,2 м,2,шт,low
245319,2 м,5,шт,low
275602,2 м,3,шт,low
329733,2 м,2,м,low
37681,2 метра,2,м,low
69785,2 метра,1,,low
168459,2 метра,1,палка,low
220101,2 метра,3,шт,low
249228,2 метра,1,шт,medium
310092,2 метра,2,м,low
321039,2 метра,1,шт,medium
190671,2 метра нужно будет,,,low
110342,2 метровые,2,шт,medium
320732,2 метровый,1,шт,low
98643,2 оконг клей,,,low
130760,2 пачки по,5,м,high
262612,2 по два метра,2,м,low
43849,2 полосы по,12,,high
43405,2 полосы по 13 см,,,low
217673,2 полотна 164*165.  119*78.5.  белый мат мсд классика,1,,medium
181591,2 полотна отложенные (Новоостаповская 7к1),2,шт,medium
43446,2 потолка мат премиум,,,low
43456,2 потолка мат премиум,,,low
43405,2 потолока мат премиум,,,low
264593,"2 профиль фиксирующий (багет) стеновой из пвх, для натяжного потолка",8700,м,high
130769,2 пульта разделения,,,low
124977,2 угловых,,,low
124977,2 угловых плоских,,,low
88979,2 х метровые,3,шт,low
10323,2 шт,2,шт,low
168452,2 шт,2,шт,low
95902,"2 шт по 2,5",2,шт,low
219014,2 шт торцы,,,low
198316,2 штуки,2,шт,low
314400,2) 10шт закладные под светильники (универсальные),,,low
45623,2) влажные салфетки,,,low
45624,2) влажные салфетки,,,low
71452,2) вставка fl,4,м,high
71453,2) вставка fl,4,м,high
71654,2) профиль fly 02 некрашенный,8,м,high
28651,2*075 гост,15,м,high
28885,2*075 гост,15,,high
277817,2*1 метр,2,шт,low
29042,"2*1,5 ввгнг",35,м,high
28522,"2*1,5 пугвв",10,м,high
28651,"2*1,5 пугвв",20,м,high
28885,"2*1,5 пугвв",5,,high
28914,"2*1,5 пугвв",35,м,high
29442,"2*1,5 пугвв",20,м,high
30026,"2*1,5 пугвв",10,м,high
30886,"2*1,5 пугвв",10,м,high
29246,"2*1,5ввгнг",30,м,high
30017,2*1.5 пугвв,15,м,high
30864,2*1.5 пугвв,70,м,high
188970,"2,2",1,шт,low
18159,"2,2 метра",2,палка,medium
334688,"2,2 метра",3,шт,medium
264492,"2,2 на 3,3 бауф мат",1,,medium
262868,"2,2 черные",1,шт,medium
171979,"2,20",1,шт,medium
89295,"2,31х1,46",1,,medium
89289,"2,31х1,46 черный гарпун",1,,medium
179227,"2,3метра",2,шт,high
39547,"2,5",2,шт,medium
292994,"2,5",3,шт,medium
321039,"2,5 метра",1,шт,medium
333610,"2,5, 3шт и 3м 1шт тогда",,,low
183428,"2,5м",1,шт,low
335514,"2,5м",1,шт,medium
41319,"2,5х5м мсд классик",1,,medium
187507,"2,80х4,54",1,,medium
44713,"2,89*2,67",1,,medium
89295,"2,9х1.88",1,,medium
89289,"2,9х1.88 белый",1,,medium
69333,2- 356см,340,,high
71463,2-го гарпуна,2,м,high
169772,2-х метровую чёрные,1,шт,medium
169781,2-х метровый черный однорядный,16,м,medium
324904,2-х метровых,10,шт,medium
87065,2. 388х35,1,,medium
95640,2. flexy евро 05,10,м,high
211249,2. вставка белая готика,92,м,high
333621,2. вставка готика,86,м,high
333642,2. вставка готика,36,м,high
31935,"2. и аналоги мб есть, нужны умные светосы, что бы работали по zigbee и к алисе можно было подрубить",,,low
38066,2.0,18,шт,low
75890,2.2,4,палка,low
109831,2.2 белый,1,шт,medium
143285,2.2 мп,2,шт,medium
98728,2.2-3 шт белые на востоке,,,low
101070,2.4 м,4,шт,low
318578,2.6,2,шт,low
221122,2.60 на 2.13 белый мат багет и вставка белая,1,,medium
278844,2.7+3.5 матовый,1,шт,medium
107091,2.83/4.07 бауф 205 мат,1,шт,high
183035,20 ваг тройных,,,low
28531,20 ваги3,,,low
7738,20 колец,75,,high
288694,20 кольца,4,шт,high
115455,20 метров,20,м,low
181739,20 метров нужно,20,м,low
29347,20 подвес,9,,low
29351,20 подвес,9,,low
104143,20 подвесов,0.9,,medium
183035,20 подвесов,,,low
21965,20 профиль,,,medium
342253,20 шт,20,шт,low
90395,20 шт углы 100 на,120,,low
15040,20*20,91,шт,medium
290256,20*25,144,шт,high
15040,20*30,66,шт,medium
65730,20-25 термокольцо,2,шт,high
333621,20. вставка ru,14,м,high
211249,20. торцевые заглушки на 6 торцов,,,low
28964,20/40 бокс алюм,12,м,high
28966,20/40 бокс алюм,12,м,high
29115,20/40 бокс алюм,10,м,high
29489,20/40 бокс алюм,4,м,high
31028,20/40 бокс алюм,6,м,high
205307,200,10,шт,low
76196,200 на 150,1,пачка,medium
95486,200 на 250,36,шт,high
202592,200 шт,4,уп,low
317480,2001 прямое,2,шт,high
203942,200×250,24,шт,high
74640,200х324 см,1,,medium
79266,202-172 (595 кв),1,шт,medium
183035,20м провода,,,low
193558,20см,2,шт,high
225227,20тое кольцо,10,шт,high
328329,21 внутренний,,,low
196068,21 метр погонный,21,м,low
333621,21. бп 40,2,м,high
211249,21. крючки в карниз,4,уп,high
20334,210,3,шт,medium
173795,210 на 240 бел мат классик гарпун обычный,1,,medium
20334,215,3,шт,medium
140949,22,2,шт,medium
225362,22,4,шт,low
88658,22 диаметр,6,шт,medium
183952,22 мм конус,1,,medium
183952,22 мм труба,1,,medium
93147,22 обвод и 35 термокольцо по 2шт туда же добавьте пожалуйста,,,low
333621,22. пресшайба со сверлом 16мм 1кг,,,low
211249,22. стопор,6,шт,high
191163,220*520мм внутренний диаметр закладной,1,шт,high
191236,220*820,1,шт,medium
13245,220см чёрный,1,шт,medium
32213,221*246 мат 511 гарпун обычный,1,,medium
41853,223/521,1,,medium
293794,225*385 мат белый премиум,1,шт,medium
30123,22вт/4000 ledspower,5,м,high
135080,22й,4,шт,medium
28658,22й обвод+конус,2,шт,high
28526,22м вставка тл,,,low
235144,22м краб,4,,low
42675,22мм,1,шт,high
301612,22мм гвозди кованные,1,пачка,high
98643,23 сдвоенного гарпуна,,,low
211249,23. гарпун двойной,17,м,high
44364,235/145 мат премиум,1,,medium
218132,237.2 -285.0 мат белый премиум,1,,medium
17011,24,4,уп,low
261884,24 вт,3,м,medium
100349,24 шт,24,шт,low
211249,24. вставка в карниз,33,м,high
161440,240,1,шт,low
216085,242см х,472,,high
20983,249/167,1,,medium
57315,24v 150w блок питания ip44 eleganz,5,шт,high
161162,24v 200w блок питания ip44 eleganz,1,шт,high
57315,24v 200w блок питания узкий ip44 eleganz,2,шт,high
161162,24v 60w блок питания ip44 eleganz,1,шт,high
204312,24v 60w блок питания ip44 eleganz,1,шт,high
320711,24v eleganz на 100w,2,шт,high
160132,24v блок 40-60w,1,шт,high
320711,24v лента lends power 2835 10v 4000k - 2 бухты,,,low
183998,24v нейтральная светодиодная лента,10,м,high
160132,24v светодиодная лента теплая,5,м,high
228044,25 кольцо,10,шт,high
185257,25 метров,25,м,low
264688,25 мм,2,шт,low
307042,25 по дереву,3,кг,high
184556,25 саморезы,2,кг,high
184556,25 саморезы,2,шт,medium
22652,25 саморезы черные,1,кг,high
210924,25 см,1,шт,low
28718,25*260 фанера 18я,,,medium
28029,250,1,шт,medium
41303,253х442 мсд классик,1,,medium
187006,25е саморезы,3,шт,high
128040,25мм,5,шт,high
54951,25на273,1,шт,medium
302781,25на273,1,шт,medium
8271,26 метров с резерва,26,м,low
199823,260*220 белый мат классик,1,шт,high
268325,260х13 без усадки по малой стороне из шестиметрового полотна черный гарпун,1,,medium
44396,263/138 белый мат премиум 5 процентов утяжки,1,,medium
139983,27,1,пачка,low
140949,27,2,шт,medium
210713,27,3,шт,low
225362,27,4,шт,low
88658,27 диаметр,4,шт,medium
234227,27 мм,27,мм,low
237221,27 мм,2,шт,medium
88746,27 мм обвод трубы,1,,low
291969,27 обводов,33,шт,medium
128103,270 на 430,1,,medium
110364,272*347,1,,medium
5141,273 на 243,1,,medium
53945,279*573 мат классик,1,,medium
28658,27й обвод+конус,2,шт,high
42675,27мм обвод,3,шт,high
183074,28 белый gx53,,,low
309414,28 метров,28,м,low
183074,28 шт 90мм закладных,,,low
183074,28 шт кольца,,,low
42450,280 на 410 белый мат мсд премиум,1,,medium
234474,280/280,1,шт,medium
1675,281/10,1,шт,medium
1675,281/10,1,,medium
1226,281/466 премиум,1,,medium
256034,290*303 мат премиум черный гарпун,1,,medium
293741,290*303 мат премиум черный гарпун,1,,medium
18424,291 сверху,1,шт,low
65916,292х328,1,,medium
1675,293/10,1,шт,medium
1675,293/10,1,,medium
97025,294х11,,,low
293794,295*385 мат белый премиум,1,шт,medium
4990,"295х295 под парящий, с белым гарпуном, белый мат премиум",1,,medium
97025,297х12 полоски,,,low
317509,298*408,1,шт,medium
29185,2m slott r,2,м,high
302585,2е полоски 20*273 км1 кд2,2,шт,medium
96001,2й белый гарпун,3,м,high
168841,2й гарпун,10,м,high
70237,"2й нагатинский 2/2 к2 , подъезд",2,,medium
341884,2йного гарпуна,10,м,high
141390,2компонентный клей фикс,1,,high
10896,2м,3,шт,low
10901,2м,3,шт,low
113602,2м,4,шт,medium
173953,2м,2,м,low
183428,2м,1,шт,low
184684,2м,2,шт,low
290216,2м,1,шт,low
302226,2м,1,шт,medium
335514,2м,3,шт,medium
28531,2м сигма нео,80,,medium
331354,2м.п.,1,палка,low
244570,2метра,2,шт,low
41538,2мх3м полотно классик,1,шт,high
216471,2ой гарпун,7,м,high
91029,2х комп клей,1,,high
178292,2х комп клей,1,шт,high
175311,2х компонентный,1,шт,high
127608,2х метровых,3,шт,medium
317971,2х метровых черных встраиваемых шинопровода денкерс,9,шт,high
169512,"2х рядный пк15 3,2 метра",1,шт,high
329712,2х2 метра,2,палка,medium
19867,2хкомпонентный клей,1,,medium
183035,2шт обвод и конус 27мм,,,low
194132,3 закладные под пожарку,,,low
277477,3 и 4 метра,,м,low
43405,3 люстры пластик,,,low
95902,3 м,1,шт,low
66202,3 метра,3,м,low
109471,3 метра,3,м,low
249228,3 метра,1,шт,medium
125935,3 палки,3,палка,low
169246,3 палки 6 п.м,3,палка,high
43297,3 потолка мат премиум,3,шт,medium
264593,"3 профиль фиксирующий (багет) стеновой из алюминия, для натяжного потолка",8700,м,high
328635,"3 ряда 3,6м",1,шт,medium
111907,3 шт закладных под люстру,,,low
98716,3 шт по,2,м,high
31874,3 шт по 2.2 м. в м1 есть,,,low
325565,3 шт. рисунок любой,,,low
126206,"3 штуки по 2,2 метра",3,шт,low
314400,3) 30шт подвесы (мягкие),,,low
45623,3) зип-пакеты,,,low
71452,3) крючек 10 см усиленные 1шт и дюбель под него,,,low
71654,3) рассеиватель на профиль флай,8,м,high
45624,3) сахар кусковой,,,low
223400,"3,06*4,85 бел. мат бауф",1,,medium
19090,"3,2",4,шт,low
69785,"3,2",1,шт,low
155530,"3,2",1,шт,low
188970,"3,2",3,шт,low
232233,"3,2",3,шт,low
309743,"3,2",3,шт,low
177156,"3,2 м",1,шт,low
239695,"3,2 м",2,шт,low
328111,"3,2 м",6,шт,medium
328125,"3,2 м",4,шт,low
329712,"3,2 м",3,палка,medium
18158,"3,2 метра",1,палка,medium
209126,"3,2 метра",,,low
289185,"3,2 метра пк 14 белый",1,шт,high
262868,"3,2 черные",3,шт,medium
39547,"3,20",4,шт,medium
171979,"3,20",2,шт,medium
225587,"3,2м",4,шт,low
302226,"3,2м",1,шт,medium
305014,"3,2м белый",2,шт,medium
331353,"3,2м.п.",1,палка,low
35125,"3,34х2.29 белый мат классик",1,,medium
26476,"3,6",3,шт,low
292994,"3,6",6,шт,medium
69333,3- 528см,340,,high
179880,3-е ваги,50,шт,high
178603,3-я нововатутинская 15к1 под 1 этаж 11 кв,112,,medium
87065,3. 388х302,1,,medium
95640,3. flexy евро 06,4,м,high
211426,3. бп40,4,м,high
211249,3. закладные 90,27,шт,high
333621,"3. пк 14 3,2м",1,шт,high
333642,3. универсалки,11,шт,high
75890,3.2,2,палка,low
234893,3.2,3,шт,low
256401,3.2,1,шт,low
285291,3.2,2,шт,medium
318578,3.2,1,шт,low
184678,3.2 белую,1,шт,high
134681,3.2 метра,4,шт,low
220032,3.2 метра пк14,1,шт,medium
38623,3.2м,1,шт,low
172144,3.2м,2,шт,low
184684,3.6,1,шт,low
287295,3.6,2,шт,low
184678,3.6 черную,1,шт,high
340788,30,1,пачка,low
90131,30 колец 65,30,шт,high
90131,30 колец 70,30,шт,high
310884,30 кольцо,10,шт,high
104644,30 метров (добавлено в заказ),30,м,low
126430,30 метров прищепка стеновая черная,,,low
100262,30 мм,3,шт,medium
223126,"30 палок, это",60,м,high
183074,30 подвесов,,,low
225702,30 тые кольца,6,шт,high
29424,30*280 мат прем кд2,1,шт,medium
29721,30*299 мат прем кд2,1,шт,medium
15040,30*30,13,шт,medium
15940,30*30,5,шт,medium
29424,30*325 мат прем кд2,1,шт,medium
29721,30*354 мат прем кд2,1,шт,medium
15040,30*60,11,шт,medium
29442,30*820см фанера 18мм,1,,medium
144965,30/30,8,шт,medium
53617,30/40 черные,3,м,high
29042,30/40 чёрный,4,м,high
28968,30/40 чёрный бокс,6,м,high
53617,30/60 черные,3,м,high
29042,30/60 чёрный,4,м,high
166317,300,1,,low
197534,300 блок на 24,1,,medium
25231,300 см,1,шт,low
295480,300*150 (9шт 100*50),9,шт,medium
317509,300*9 2 полотна,1,,medium
201298,300-350,4,шт,high
77640,300/288 - цвет (110),1,,medium
224992,300/300,1,шт,high
4415,300/342,1,,medium
77640,301/252 цвет (110),1,,medium
268328,301х13 без усадки по малой стороне из шестиметрового полотна черный гарпун,1,,medium
59141,303 премиум мат 400,1,,medium
76874,303х422 премиум белый глянец,1,шт,medium
31901,"307 мат, отрезы которые просчитывал ранее, фото с размерами отправлю в чат",,,low
2752,30е обычные,,,medium
21838,30ка,,,medium
156562,30на40,10,м,high
208496,31 см стена там ао всю стену,4,м,low
244074,310х33 сатин бауф 205 черный гарпун,1,,medium
244074,"310х33 черный мат, черный гарпун",1,,medium
24671,313*492 два одинаковых потолка обычный гарпун,2,шт,medium
5141,315 на 591,1,,medium
244074,316х33 сатин бауф 205 черный гарпун,1,,medium
23060,319,4,м,low
210713,32,3,шт,low
89057,32 мм,2,шт,high
291969,32 обводов,30,шт,medium
90178,320 см у лайн карниз,2,шт,medium
39004,320/344,1,,medium
101643,320см,1,,low
194300,320см,3,шт,medium
