raw_name,total_count,unique_msgs,high,medium,low,top_units
закладная под люстру фанера,45,45,43,2,0,"шт:42, —:3"
рушка,44,44,43,1,0,"м:42, —:2"
уголки 125-е,44,44,44,0,0,"шт:43, —:1"
люстра фанера,44,44,44,0,0,шт:44
кольцо 30,43,43,43,0,0,"шт:42, —:1"
кольца 30,42,42,37,4,1,"шт:37, —:5"
кольца 40,42,41,38,2,2,"шт:40, —:2"
закладные 90,42,42,41,1,0,"шт:37, —:5"
профиль по периметру,41,40,6,27,8,"—:37, м:3, шт:1"
багет,41,40,34,3,4,"м:21, —:19, шт:1"
перчатки,41,38,39,2,0,"пара:17, шт:10, пар:8"
вставки,40,40,38,2,0,"м:37, коробка:2, палка:1"
мат премиум,40,40,5,28,7,"—:39, шт:1"
55-105,39,39,38,1,0,"шт:38, м:1"
ваго 3е,39,39,39,0,0,"шт:28, —:11"
световая линия флекси 30мм,39,37,37,2,0,"—:25, м:14"
бруса,38,38,37,1,0,"м:33, шт:3, палка:1"
обвод 27,38,38,36,2,0,"шт:34, —:4"
пленка укрывная,38,38,37,0,1,"шт:31, —:4, м:3"
кольца 70,37,37,36,1,0,"шт:36, —:1"
мат классик,37,36,5,26,6,"—:35, шт:2"
кольцо 50,37,37,35,2,0,"шт:31, —:6"
белый мат премиум,36,34,3,32,1,"—:34, шт:2"
кольцо 45,36,36,34,2,0,"шт:31, —:5"
фанера под люстру,36,36,33,3,0,"шт:34, —:2"
стяжки,35,35,30,4,1,"уп:13, пачка:13, —:6"
лампа нейтральная,34,34,32,2,0,"—:22, шт:12"
светильники gx белые,34,34,31,3,0,"—:23, шт:11"
краб,34,34,34,0,0,"м:32, шт:1, —:1"
профиль тяжелый,33,33,31,2,0,"м:30, —:3"
профиль алюминий,32,31,10,18,4,"—:22, м:10"
кольца,32,32,17,13,2,"шт:21, —:11"
кронштейн 10/12см,32,30,32,0,0,"шт:17, —:15"
укрывная пленка,32,31,30,2,0,"шт:28, рулона:2, м:1"
обвод 32,31,31,29,2,0,"шт:26, —:5"
теневой бизон,31,30,30,1,0,"—:22, м:9"
заглушки для свет линии,31,30,29,2,0,"—:19, шт:12"
гарпун черный,30,30,12,12,6,"—:20, м:10"
кольцо 20,30,30,30,0,0,"шт:26, —:4"
кольцо 80,30,30,28,2,0,"шт:26, —:4"
обвод трубы 27,30,30,28,2,0,"шт:28, —:2"
платформа 90,30,30,30,0,0,шт:30
провода,30,30,29,1,0,м:30
🧾 *товар*:,30,30,0,0,30,—:30
вставка черная мат,29,29,28,1,0,"—:18, м:10, шт:1"
уголки 100*125,29,29,29,0,0,"шт:25, пачка:2, —:1"
ваго 3х,29,29,29,0,0,"шт:28, —:1"
закладные под люстру,29,29,29,0,0,"шт:28, —:1"
кольца 90мм,29,29,29,0,0,шт:29
алмазные коронки,28,28,27,1,0,"—:17, шт:11"
бауф 205,28,28,5,20,3,"—:26, шт:2"
бел мат классик (написать премиум),28,28,9,19,0,—:28
хилберг,28,28,28,0,0,"шт:27, —:1"
ваго 2х,28,28,28,0,0,шт:28
вставка в разделитель,28,27,23,5,0,"—:15, м:12, шт:1"
кольца 50,28,28,26,2,0,"шт:25, —:3"
кольца 60,28,28,27,1,0,"шт:26, —:2"
ваго 2,27,26,27,0,0,"шт:26, —:1"
кольца 90е,27,27,27,0,0,"шт:22, —:5"
подвесы жесткие,27,27,27,0,0,"шт:25, пачка:2"
лотус,27,27,27,0,0,шт:27
подвеса,27,27,26,1,0,"шт:22, —:4, м:1"
уголки 125х150,27,27,27,0,0,"шт:22, уп:5"
уголки 150х200,27,27,26,1,0,"шт:26, пачка:1"
гарпун белый,26,25,10,14,2,"—:20, м:5, пм:1"
кольца 80,26,26,25,1,0,шт:26
обвод трубы 32,26,26,25,1,0,"шт:24, —:2"
люстра тиса,26,26,25,1,0,шт:26
торца,26,26,22,3,1,"шт:16, —:9, компл:1"
вставка в пк14,25,25,25,0,0,"м:24, —:1"
светильники gx53 белые,25,25,23,2,0,"шт:23, —:2"
теневой еврокраб,25,25,24,1,0,"—:17, м:8"
ам 01,25,25,24,1,0,м:25
ваго 3,25,24,25,0,0,"шт:22, пачка:2, —:1"
кольцо 105,25,24,23,2,0,"шт:17, —:8"
профиль стеновой,25,25,25,0,0,м:25
саморезы 41,25,25,25,0,0,"кг:11, пачка:4, коробка:4"
ваго тройные,24,24,24,0,0,"шт:22, пачка:1, коробка:1"
заглушки для ам,24,24,23,1,0,"шт:23, пара:1"
кольца 20,24,24,23,1,0,шт:24
кольцо 100,24,22,24,0,0,"шт:15, —:9"
вставка tl белая,24,23,22,2,0,"м:20, —:3, пм:1"
закладная под вентилятор (фанера),24,22,23,1,0,"—:14, шт:10"
кольца 110,24,24,23,1,0,"шт:22, —:2"
лента,24,21,13,10,1,"м:18, —:5, шт:1"
рассеиватель к нему,24,24,18,5,1,"м:17, —:7"
уголки 100/125,24,24,23,1,0,"шт:20, уп:3, пачка:1"
gx53 белый,23,23,23,0,0,"шт:21, —:2"
вставка в пк черная,23,22,21,2,0,"—:18, м:4, палка:1"
кольцо 125,23,22,21,2,0,"шт:16, —:7"
ваг тройных,23,22,23,0,0,"шт:15, —:7, пачка:1"
вставка ру,23,23,23,0,0,"м:22, —:1"
кольца 65,23,23,23,0,0,шт:23
кольцо 70,23,23,23,0,0,"шт:18, —:5"
"пк 14 (3,2м)",23,23,23,0,0,"палка:21, палки:2"
профиль потолочный,23,23,23,0,0,"м:22, шт:1"
черный гарпун,23,23,6,14,3,"—:22, м:1"
заглушки для пк черные,22,21,22,0,0,"пара:18, шт:2, пачка:1"
коронка по граниту,22,22,19,3,0,"шт:19, —:3"
белый мат классик,22,22,3,19,0,"—:18, шт:4"
вставка в ам,22,21,21,1,0,"—:15, м:7"
вставка тл,22,22,21,0,1,"м:19, —:2, уп:1"
гвозди 19,22,21,18,3,1,"уп:7, —:6, пачка:5"
кольцо 115,22,22,20,2,0,"шт:16, —:6"
экран,22,18,20,2,0,"м:19, —:2, шт:1"
бп-40,21,20,21,0,0,"м:18, м.п:1, палка:1"
кольца 45,21,21,20,1,0,"шт:19, —:2"
уголки флекси,21,21,21,0,0,шт:21
акфикс,21,20,21,0,0,"шт:18, —:3"
ам1 белый,21,21,21,0,0,"м:20, шт:1"
ваги 2е,21,21,21,0,0,"шт:16, коробка:3, уп:2"
вставка чёрная,21,21,16,4,1,"м:15, —:6"
закл под спот фанера,21,21,21,0,0,"шт:12, —:9"
кольцо 90 мм,21,21,20,1,0,"шт:19, —:2"
краб стеновой,21,21,21,0,0,"м:19, —:1, шт:1"
обвод 22,21,21,18,3,0,"шт:18, —:3"
штапик,21,21,20,1,0,"м:18, шт:2, —:1"
gx 53,20,20,20,0,0,шт:20
ваго 3-е,20,20,19,1,0,"шт:19, —:1"
облегченка,20,20,20,0,0,м:20
ваги 2х,20,20,20,0,0,шт:20
вставка белая готика,20,20,19,1,0,"м:17, коробка:1, —:1"
закл под светильник,20,19,20,0,0,"шт:12, —:6, мешок:1"
профиль облегченный,20,19,9,10,1,"—:10, м:8, шт:2"
ам1,19,19,17,2,0,"м:16, шт:2, —:1"
клеммник wago 3 разъема,19,19,19,0,0,шт:19
пк 14 (2м),19,19,19,0,0,"палка:18, шт:1"
платформы 90,19,19,19,0,0,шт:19
бел мат классик,19,19,0,12,7,—:19
брус деревянный,19,19,18,1,0,"м:16, шт:2, —:1"
гвозди 22,19,19,13,5,1,"—:8, уп:6, пачка:4"
еврокраб стеновой,19,19,19,0,0,"м:17, —:2"
закладные универсальные,19,19,19,0,0,"шт:18, —:1"
клей двухкомпонентный,19,19,18,1,0,шт:19
кольцо 65,19,19,19,0,0,"шт:14, —:5"
кронштейн 12/15см,19,19,19,0,0,"шт:11, —:7, уп:1"
рассеиватель в пк14,19,19,18,1,0,"м:18, —:1"
саморезы,19,19,16,2,1,"кг:8, уп:5, шт:3"
светильники gx53,19,19,18,0,1,"шт:17, —:2"
световая линия 3см,19,19,19,0,0,м:19
уголки,19,19,17,0,2,"шт:16, —:2, пачка:1"
уголки 75/100,19,19,19,0,0,шт:19
белый матовый премиум,18,17,0,16,2,"—:17, шт:1"
гарпун кд2,18,18,7,10,1,"—:16, м:2"
клей,18,18,11,5,2,"шт:10, —:7, тюбик:1"
клинч,18,18,18,0,0,м:18
колец 90,18,18,18,0,0,"шт:12, —:6"
кольцо 60,18,18,18,0,0,"шт:16, —:2"
кольцо 90мм,18,18,18,0,0,"шт:15, —:3"
парящий флай 2.0 с рассеивателем,18,18,17,1,0,"—:17, м:1"
потолочный профиль,18,18,18,0,0,"м:15, палка:2, шт:1"
профиля,18,18,12,5,1,"м:16, —:1, палка:1"
укрывная плёнка,18,18,17,1,0,"шт:10, —:4, м:3"
блок 24v 060w eleganz,17,17,16,1,0,"—:9, шт:8"
кольца 100,17,17,16,1,0,"шт:16, —:1"
крючки черные,17,17,15,2,0,"компл:4, шт:4, пачка:3"
перчатки нейлон,17,16,16,1,0,"пара:7, пар:4, шт:2"
уголок 125*150,17,17,17,0,0,"шт:12, —:5"
блок 24v 100w eleganz,17,17,16,1,0,"—:13, шт:4"
ваги 3х,17,17,17,0,0,"шт:15, —:1, уп:1"
воск,17,17,14,3,0,"шт:14, —:3"
закладные под люстру фанера,17,16,13,3,1,"шт:13, —:4"
кольцо 130,17,17,16,1,0,"шт:15, —:2"
конус 27,17,17,16,1,0,"шт:16, —:1"
кронштейн 100/125,17,17,17,0,0,"—:11, шт:6"
лампа 8в 6000к,17,17,15,2,0,"—:14, шт:3"
платформа люстра,17,17,13,4,0,"шт:11, —:6"
стеновой,17,17,15,2,0,"м:13, —:4"
универсалки,17,17,16,1,0,"шт:12, —:5"
кольца 105,16,16,14,2,0,"шт:14, —:2"
кольцо,16,15,15,0,1,"шт:13, —:3"
пк14,16,16,15,0,1,"м:15, —:1"
диффузор 100мм,16,16,16,0,0,"—:9, шт:7"
кольца 90 мм,16,16,16,0,0,шт:16
лампы нейтральные,16,15,8,8,0,"шт:9, —:7"
пк 14 2м,16,16,15,1,0,"палка:8, шт:5, —:2"
пластик 50*50 3мм,16,16,16,0,0,"—:10, шт:6"
платформа универсальная,16,16,16,0,0,шт:16
полотна,16,15,6,7,3,"шт:10, —:6"
провод ввг,16,16,16,0,0,м:16
gx53,15,15,15,0,0,"шт:12, —:3"
gx53 белые,15,15,15,0,0,шт:15
заглушки торцевые,15,15,13,2,0,"шт:10, компл:2, —:2"
закладная фанера 50*50,15,15,15,0,0,"—:13, шт:2"
кольца 25,15,15,14,1,0,"шт:14, —:1"
труба (27),15,15,15,0,0,"шт:12, —:3"
алюм стандарт,15,14,13,2,0,"—:12, м:3"
блок 24v 200w eleganz,15,15,14,1,0,"—:8, шт:7"
брус 40х50,15,15,15,0,0,"м:14, шт:1"
гвозди 16,15,15,8,7,0,"—:7, пачка:7, коробка:1"
еврокрааб,15,15,15,0,0,"м:13, м.п.:1, м.п:1"
закладная под люстру из фанеры,15,15,14,1,0,шт:15
закладных под люстру,15,15,15,0,0,"шт:12, —:3"
кольцо 120,15,15,15,0,0,"шт:8, —:7"
кольцо 95,15,15,15,0,0,"шт:13, —:2"
нужно,15,15,3,0,12,"шт:10, м:4, —:1"
"пк 14 3,2м",15,15,10,5,0,"—:6, шт:5, палка:4"
платформа под люстру фанера,15,15,15,0,0,шт:15
профиль тяж,15,15,15,0,0,м:15
рассеиватель в парящий,15,14,13,2,0,"м:12, —:2, шт:1"
светильники,15,15,9,6,0,"шт:11, —:4"
уголки 5/6,15,15,15,0,0,"шт:9, пачка:5, уп:1"
укрывной пленки,15,14,15,0,0,"шт:5, —:4, уп:3"
бокс 20/40,14,14,14,0,0,"м:13, шт:1"
кольцо 50мм,14,14,14,0,0,"шт:13, —:1"
парящий с рассеивателем,14,14,13,1,0,"м:13, —:1"
"подвес жесткий 0,9мм",14,14,14,0,0,шт:14
"подвес средней жесткости 0,7мм",14,14,14,0,0,шт:14
ваги 3е,14,14,14,0,0,"шт:11, уп:3"
вставку,14,14,8,5,1,"м:8, —:6"
закладные,14,14,9,5,0,"шт:8, —:6"
кольцо 40мм,14,14,14,0,0,"шт:13, —:1"
кольцо 45е,14,13,14,0,0,"шт:10, —:4"
крючки для ам,14,13,13,1,0,"—:12, шт:2"
пвх профиль,14,14,14,0,0,м:14
перчатки нейлоновые,14,13,14,0,0,"пара:5, шт:4, пачка:2"
платформа для люстры,14,14,13,1,0,шт:14
подвес прямой,14,14,14,0,0,шт:14
провод 0.75,14,13,13,1,0,"м:12, —:1, м.п.:1"
профиль ал стандарт,14,13,10,4,0,"м:10, —:3, шт:1"
профиль пластик,14,13,12,2,0,"м:11, —:2, мп:1"
профиль+вставка,14,14,14,0,0,м:14
псул,14,14,10,4,0,"м:6, —:4, шт:2"
саморезы 35мм,14,14,14,0,0,"пачка:8, кг:5, коробка:1"
стопора,14,14,14,0,0,"шт:13, —:1"
таких,14,14,0,0,14,шт:14
ваги 3 отв,13,13,13,0,0,"шт:12, пачка:1"
подвес жесткий,13,13,13,0,0,шт:13
подвесы мягкие,13,13,13,0,0,шт:13
белый мат,13,13,0,8,5,—:13
блок 250,13,13,13,0,0,шт:13
брус 40*50,13,13,13,0,0,"м:12, шт:1"
вставка tl,13,13,11,1,1,"м:11, —:2"
вставка в карниз,13,13,13,0,0,"м:12, —:1"
гарпун мок,13,13,13,0,0,м:13
дюбель 35,13,13,12,1,0,"уп:7, пачка:5, —:1"
закладные под люстры,13,13,13,0,0,шт:13
кольца 112,13,13,13,0,0,шт:13
кольца 95,13,13,13,0,0,"шт:12, —:1"
кольцо 100мм,13,13,13,0,0,"шт:9, —:4"
ленты,13,13,11,2,0,м:13
люстры,13,13,13,0,0,"шт:8, —:5"
новый заказ: №,13,13,0,5,8,—:13
палки,13,13,0,4,9,"палка:11, шт:2"
пк 15,13,13,12,1,0,"м:10, шт:2, —:1"
платформы универсальные,13,13,13,0,0,шт:13
площадка под люстру,13,13,10,2,1,"шт:11, —:2"
подвесы жёсткие,13,13,13,0,0,шт:13
полотно,13,13,1,6,6,"м:6, —:4, шт:3"
потолка мат премиум,13,12,10,3,0,"шт:7, —:6"
"провод 2*1,5",13,13,13,0,0,"м:12, —:1"
профиль тяжёлый,13,13,11,1,1,"м:9, —:2, палка:1"
разделитель теневой,13,13,13,0,0,"м:12, шт:1"
рассеиватель в пк 14,13,13,13,0,0,м:13
светильник gx53 белый,13,13,13,0,0,шт:13
термокольца 90,13,13,12,1,0,шт:13
уголки 150/200,13,13,13,0,0,"шт:7, уп:4, пачка:1"
хилберг/воск,13,13,12,1,0,"—:9, шт:4"
эклипс,13,13,12,1,0,"шт:12, —:1"
ам 01 черный,12,12,11,1,0,"м:10, —:2"
бандажка,12,12,12,0,0,"м:11, шт:1"
ваго3,12,12,12,0,0,"шт:9, уп:2, —:1"
кольцо (110),12,12,9,3,0,"—:10, шт:2"
коронка лотус,12,12,12,0,0,шт:12
обезжириватель,12,12,8,3,1,"—:6, шт:6"
платформа быстромонтаж,12,12,12,0,0,шт:12
потолочный еврокраб,12,11,12,0,0,"м:9, —:2, м.п:1"
провод 2х0.75,12,12,12,0,0,м:12
профиль легкий,12,12,12,0,0,м:12
"саморез 3,5*35 мм",12,12,12,0,0,"шт:7, кг:5"
алмазная коронка,12,11,12,0,0,"—:8, шт:4"
ам1 черный,12,12,12,0,0,"м:11, —:1"
ваг,12,12,12,0,0,"шт:6, —:5, уп:1"
вставка гарпунная gotika tl белая,12,12,11,1,0,"шт:5, м:4, —:2"
вставка ру черная,12,12,12,0,0,м:12
вставку по периметру,12,12,2,8,2,"—:10, шт:1, м:1"
гарпун чёрный,12,12,5,4,3,"—:7, м:5"
дюбеля,12,12,11,1,0,"пачка:6, шт:4, уп:2"
евро краб,12,12,10,2,0,"м:8, —:4"
закладная универсальная,12,12,12,0,0,шт:12
клей для керамогранита,12,11,9,2,1,"шт:7, —:5"
колец 90мм,12,12,12,0,0,"шт:9, —:3"
парящий флай 02 белый,12,12,11,1,0,"м:10, палка:1, —:1"
плат под пожарку,12,12,12,0,0,"шт:11, —:1"
платформа универсальная 60-110,12,12,12,0,0,"шт:11, —:1"
подвес 07,12,12,12,0,0,"шт:5, коробка:4, —:3"
подвес 09,12,12,11,1,0,"шт:8, —:2, коробка:2"
саморезов 35х,12,12,12,0,0,"пачка:11, кг:1"
светильники gx 53 белые,12,12,12,0,0,шт:12
товар,12,12,0,0,12,"м:10, шт:2"
черная вставка,12,12,9,3,0,"м:8, —:4"
гардина 2.05 бел 3.2,11,10,11,0,0,"палка:10, шт:1"
закладная под люстру тиса,11,11,10,1,0,"шт:10, —:1"
кольца 130,11,11,10,1,0,"шт:10, —:1"
парящий,11,10,11,0,0,"м:7, палка:3, м.п.:1"
платформа под светильник 90,11,11,11,0,0,шт:11
подвес мягкий,11,11,11,0,0,шт:11
"подвесы 0,7",11,11,11,0,0,"шт:9, уп:1, —:1"
рушка белая,11,11,11,0,0,"м:10, —:1"
саморезы 25,11,11,10,1,0,"кг:6, пачка:3, —:1"
светильник gx 53 белый,11,11,11,0,0,шт:11
стандарт,11,11,11,0,0,"м:10, палка:1"
уголки регулировочные,11,11,11,0,0,шт:11
уголок 150*125,11,11,11,0,0,"шт:10, уп:1"
ак фикс,11,10,11,0,0,"—:6, шт:5"
белый,11,11,0,3,8,"м:8, шт:3"
блок 24v 150w eleganz,11,11,10,1,0,"—:10, шт:1"
ваги 3,11,11,11,0,0,"шт:10, упак:1"
диодка elite dlt 24v 19.8w 4000k,11,10,10,1,0,"—:9, м:1, шт:1"
закл 90е,11,11,11,0,0,"шт:7, —:4"
закладная тиса,11,11,11,0,0,шт:11
краб потолочный,11,11,10,1,0,"м:9, —:2"
мсд премиум,11,11,0,10,1,—:11
обвод трубы 22,11,11,11,0,0,шт:11
пвх шина 2-х рядная,11,10,11,0,0,м:11
платформа 60-110,11,11,11,0,0,шт:11
платформа под светильник универсальная,11,11,11,0,0,шт:11
платформы под люстру,11,10,11,0,0,"шт:9, —:2"
подвесы тяж,11,11,11,0,0,шт:11
потолочный краб,11,11,11,0,0,"м:9, —:1, палка:1"
провод 2х0.75 гост,11,11,11,0,0,м:11
провод шввп гост,11,11,11,0,0,м:11
профиль вставка по периметру,11,11,0,10,1,—:11
профиль и вставка по периметру,11,10,0,8,3,"—:8, шт:2, м:1"
разделитель теневой флекси,11,11,11,0,0,"м:10, палка:1"
рассеиватель поликарбонат,11,11,9,2,0,"м:9, —:2"
уголок 125х150,11,11,11,0,0,шт:11
вставка в ам черная,10,10,10,0,0,"—:7, м:3"
кабель,10,10,10,0,0,м:10
"кабель ввг-нг-ls 2*1,5",10,10,10,0,0,м:10
лампочки нейтральные,10,10,9,1,0,"шт:9, —:1"
пк 14 белый,10,10,9,1,0,"м:7, шт:2, —:1"
торцевая заглушка,10,10,10,0,0,"шт:7, компл:2, —:1"
багет ал,10,9,10,0,0,"м:9, —:1"
блок,10,10,1,6,3,"—:6, шт:4"
блок dumlight 150w 24v,10,10,9,1,0,"—:7, шт:3"
вставка готика по периметру,10,10,1,9,0,—:10
вставка т,10,10,8,2,0,"м:7, —:3"
вставка т готика,10,10,5,4,1,"м:5, —:5"
газ для пистолета,10,10,8,2,0,"шт:6, —:3, баллон:1"
диодка eleganz lux 24v 24w 4500к,10,10,8,2,0,"—:5, м:5"
дюбель,10,9,8,2,0,"пачка:4, уп:3, —:2"
еврокраб потолочный,10,10,10,0,0,"м:9, шт:1"
закладная люстра,10,9,9,0,1,"шт:8, —:2"
закладные под gx,10,10,10,0,0,"шт:8, —:2"
кольцо 35мм,10,10,10,0,0,шт:10
комплект крючков,10,10,9,1,0,"компл:7, шт:3"
комплект торцевых заглушек,10,10,10,0,0,"компл:5, шт:4, —:1"
комплекта торцевых заглушек,10,9,10,0,0,"компл:9, шт:1"
консоли 125/150,10,10,10,0,0,"пачка:5, шт:4, уп:1"
коронка по керамограниту,10,10,10,0,0,"шт:9, —:1"
космофен,10,10,7,3,0,"шт:7, —:3"
краб 2.0,10,10,7,2,1,"м:7, шт:2, —:1"
кронштейн 15/20см,10,10,10,0,0,"шт:6, —:4"
крючки u-line с бегунком,10,10,10,0,0,компл:10
крючков,10,10,9,1,0,"уп:4, компл:3, пачка:2"
лампа 8в 3000к,10,9,9,1,0,"—:6, шт:4"
мсд прем м303,10,10,0,9,1,—:10
пк14 2м,10,10,10,0,0,шт:10
плат под спот,10,10,10,0,0,шт:10
платформа под люстру усиленная,10,10,9,1,0,"шт:9, —:1"
под люстру фанера,10,10,6,4,0,"—:7, шт:3"
провод шввп,10,10,9,0,1,"м:7, —:3"
профиль 135,10,9,10,0,0,"м:9, м.п:1"
прямой соединитель,10,10,10,0,0,"—:6, шт:4"
ру белая,10,9,10,0,0,"м:6, —:3, шт:1"
саморезы 35е,10,10,10,0,0,"пачка:4, кг:3, шт:1"
световая линия 3 см,10,10,10,0,0,м:10
световая линия 30мм,10,10,10,0,0,"м:7, —:3"
сигма белая,10,10,10,0,0,м:10
скотч малярный,10,10,8,2,0,"шт:6, —:4"
термокольцо 90,10,10,10,0,0,шт:10
торцы к гардине,10,10,10,0,0,компл:10
уголки 75х100,10,10,10,0,0,шт:10
2м,9,9,0,3,6,"шт:8, м:1"
блок на 100в,9,9,9,0,0,шт:9
коронки лотус,9,9,9,0,0,шт:9
"подвесы 0,9",9,9,9,0,0,шт:9
провод ввгнг,9,8,9,0,0,"м:8, м.п.:1"
алюм,9,9,7,2,0,"—:7, м:2"
багет пвх,9,9,7,2,0,"м:6, —:2, шт:1"
багет стандарт,9,9,6,3,0,"м:5, —:4"
блок 150,9,9,9,0,0,шт:9
блок 60w,9,9,7,1,1,"шт:7, —:2"
ваги 2,9,9,9,0,0,"шт:7, упак:1, уп:1"
ваго двойные,9,8,8,1,0,"шт:6, упаковка:1, уп:1"
вставка готика tl,9,9,9,0,0,м:9
вставка для пк14,9,9,9,0,0,м:9
гарпун 2ой,9,9,9,0,0,м:9
заглушек,9,9,8,1,0,"компл:7, шт:2"
клопы острые,9,9,7,2,0,"—:2, шт:2, гр:2"
кольца 125,9,9,8,1,0,"шт:7, —:2"
кольца 30е,9,9,9,0,0,"шт:8, —:1"
кольца 55,9,9,9,0,0,"шт:8, —:1"
кольцо 20мм,9,9,9,0,0,"шт:8, —:1"
кольцо 30мм,9,9,9,0,0,шт:9
кольцо 55,9,8,9,0,0,"шт:7, —:2"
контурный флекси,9,9,7,2,0,"—:7, м:2"
лампа холодная,9,9,7,2,0,"—:8, шт:1"
